Unnamed: 0,Country/Continent,Arrivals,gdp_per_capita,gdp,inflation,unemployment,Under 1 week,1 and under 2 weeks,2 weeks and under 1 month,1 and under 2 months,2 and under 3 months,3 and under 6 months,6 and under 12 months,Convention/conference,Business,Visiting friends/relatives,Holiday,Employment,Education,Other & not stated,FLTS IN,PAX IN,SEATS IN,FLTS OUT,PAX OUT,SEATS OUT,Exchange Rate/TWI,date,TWI,FX_neg,TWI_est
2721,Austria,1340,50305.3545774973,426580502769.417,2.00015616900597,5.367,0.324397523767411,0.2598386026973248,0.1793794679047829,0.0781560910899845,0.0384147689586557,0.0587736752892622,0.0610398702925786,0.0389497927222478,0.1043942883463841,0.2757438968217411,0.4589405803777061,0.0363887609396591,0.0403869184707508,0.0451957623215108,,,,,,,72.1,2013-10-01,72.1,-4.278054044290903,72.1
2722,Austria,1550,50305.3545774973,426580502769.417,2.00015616900597,5.367,0.3223440689106445,0.2648666412979555,0.1830698446743003,0.0801362991662919,0.0412529837063687,0.0584460511294842,0.0498841111149548,0.0331073133605479,0.1087663460873175,0.2813775686708641,0.472981387947139,0.0307894554763716,0.0290078184459973,0.0439701100117622,,,,,,,69.8,2013-11-01,69.8,-4.245634009768327,69.8
2723,Austria,2160,50305.3545774973,426580502769.417,2.00015616900597,5.367,0.2083190883190883,0.2491674580563469,0.3121494143716365,0.1245330800886356,0.0326938904716682,0.043241532130421,0.0298955365622032,0.018588160810383,0.0501424501424501,0.3778917378917379,0.4883950617283951,0.0219309908198797,0.0177777777777777,0.0252738208293763,,,,,,,68.9,2013-12-01,68.9,-4.232656178019613,68.9
2724,Austria,1550,51314.9722616322,438556021078.034,1.60581182954474,5.674,0.2629773163620849,0.2399025812415558,0.2021617009173007,0.1004053189219938,0.0410829837161345,0.0662554220294389,0.0872146768114911,0.0138311111111111,0.0731733333333333,0.2657422222222222,0.4862577777777778,0.0496533333333333,0.0669688888888888,0.0443733333333333,,,,,,,67.7,2014-01-01,67.7,-4.215086179918229,67.7
2725,Austria,2030,51314.9722616322,438556021078.034,1.60581182954474,5.674,0.2940419992785785,0.2362028135439047,0.1769207847811426,0.0855982309489829,0.0286216144158838,0.0736947759672537,0.1049197810642535,0.0205605131502595,0.0906952307764691,0.2439032040525069,0.4519548954722958,0.0323541865972429,0.1182660790740711,0.0422658908771544,,,,,,,68.9,2014-02-01,68.9,-4.232656178019613,68.9
2726,Austria,1510,51314.9722616322,438556021078.034,1.60581182954474,5.674,0.3345261475982823,0.2572650710695383,0.1834825738157851,0.0766785393295829,0.0292766552378416,0.0546419892813155,0.0641290236676542,0.0293099430777936,0.1037249092906361,0.2772877068007057,0.4668785992476948,0.0305748809959721,0.05286108984388,0.0393628707433174,,,,,,,71.0,2014-03-01,71.0,-4.262679877041316,71.0
2727,Austria,1060,51314.9722616322,438556021078.034,1.60581182954474,5.674,0.2948633052691325,0.2894901144640999,0.2066218900766247,0.0715353325134802,0.034566266199981,0.0495884968309526,0.0533345946457288,0.0241410625094596,0.0863856515816558,0.3183744513394884,0.462804601180566,0.0317844710155895,0.0374035114272741,0.0391062509459664,,,,,,,71.4,2014-04-01,71.4,-4.268297869345538,71.4
2728,Austria,740,51314.9722616322,438556021078.034,1.60581182954474,5.674,0.3648148539767801,0.2827838517985915,0.1542495823376403,0.0637807431217882,0.0312348002622285,0.0535030769556114,0.0496330915473597,0.0584279642200088,0.1207680433081689,0.2684556662225887,0.4410327983251919,0.0315718243143225,0.0331155236947281,0.0466281799149908,,,,,,,71.5,2014-05-01,71.5,-4.269697449699962,71.5
2729,Austria,750,51314.9722616322,438556021078.034,1.60581182954474,5.674,0.3102642498362087,0.2794933391570212,0.1679624372133653,0.088993229962874,0.0422362961345271,0.0576981873771565,0.0533522603188469,0.0361666812265222,0.1113828950816807,0.2818642439067004,0.4538525377828252,0.0326941556739757,0.0416266270638595,0.042412859264436,,,,,,,72.0,2014-06-01,72.0,-4.276666119016055,72.0
2730,Austria,1510,51314.9722616322,438556021078.034,1.60581182954474,5.674,0.2513864156703129,0.2712795726278301,0.202085983210379,0.0940218773848893,0.0303400322225048,0.0772322564233019,0.0736538624607818,0.0418892563385059,0.081370304417875,0.2358856949037564,0.4599508182820317,0.0280505384550156,0.1147290765708471,0.0381243110319681,,,,,,,71.5,2014-07-01,71.5,-4.269697449699962,71.5
