Month,Under 1 week,1 and under 2 weeks,2 weeks and under 1 month,1 and under 2 months,2 and under 3 months,3 and under 6 months,6 and under 12 months,Total (Duration of stay in days),Convention/conference,Business,Visiting friends/relatives,Holiday,Employment,Education,Other & not stated,Total (Reason for Journey)
1995-11-01,108560,108370,55310,29720,12390,15980,12610,342930,9460,36330,63810,212620,1650,3570,15500,342930
1995-12-01,103850,128120,93680,57600,13800,15600,9620,422260,3070,22150,113190,261780,1540,3500,17030,422260
1996-01-01,97510,87860,51350,29700,12180,15850,22760,317210,4290,27180,57800,187330,2650,19590,18360,317210
1996-02-01,114170,132950,63340,33610,9930,13970,24700,392690,8080,31860,61550,247960,1970,24090,17170,392690
1996-03-01,108380,122620,68910,32370,8720,11300,13250,365550,9210,37530,68070,223120,1990,9060,16570,365550
1996-04-01,105690,114760,56800,25130,9060,10280,11490,333200,13040,31980,63930,196700,2150,9330,16060,333200
1996-05-01,101920,81600,40150,16890,4910,8230,7830,261510,7800,32050,44550,157600,1360,4650,13510,261510
1996-06-01,99960,97710,55920,24530,10070,9940,8810,306930,9250,32170,56500,182720,1790,7190,17320,306930
1996-07-01,102610,99120,73790,36970,9320,15200,21220,358230,10340,32350,59230,207880,2250,25930,20250,358230
1996-08-01,110210,108860,62830,23100,5800,8800,9650,329240,9130,32400,52810,208880,1690,6470,17850,329240
1996-09-01,96940,99220,57140,24910,7890,12230,10830,309160,12330,32340,57660,182390,1720,6710,16010,309160
1996-10-01,105910,112920,62460,30710,10300,13920,14150,350360,12480,38010,64920,205690,2250,8870,18140,350360
1996-11-01,114090,117970,63720,34020,13790,18580,13400,375570,12830,39680,74310,225030,2060,4850,16800,375570
1996-12-01,116780,137990,103030,67070,14140,16610,9550,465180,4110,24400,119920,293080,1800,4310,17570,465180
1997-01-01,102300,89900,59640,33710,13720,17730,25890,342890,5450,28670,62700,199230,3210,23070,20560,342890
1997-02-01,122090,134540,63340,35410,9870,13950,28770,407960,6290,38430,61900,253580,1850,26850,19060,407960
1997-03-01,123840,123620,74450,32020,10180,13290,13500,390900,10300,37810,74470,236490,2310,10140,19380,390900
