year_month,state,arrivals
1995-05,NT,4240
1995-05,WA,21640
1995-05,VIC,27730
1995-05,SA,3260
1995-06,NSW,108050
1995-06,QLD,89720
1995-06,TAS,880
1995-06,ACT,1720
1995-06,NT,3700
1995-06,WA,24790
1995-06,VIC,27780
1995-06,SA,4010
1995-07,NSW,149380
1995-07,QLD,102340
1995-07,TAS,1080
1995-07,ACT,2560
1995-07,NT,5180
1995-07,WA,24480
1995-07,VIC,38500
1995-07,SA,5410
1995-08,NSW,128760
1995-08,QLD,106800
1995-08,TAS,890
1995-08,ACT,1990
1995-08,NT,5090
1995-08,WA,24840
1995-08,VIC,30790
1995-08,SA,5000
1995-09,NSW,118590
1995-09,QLD,81090
1995-09,TAS,1150
1995-09,ACT,2140
1995-09,NT,4050
1995-09,WA,24630
1995-09,VIC,31010
1995-09,SA,5090
1995-10,NSW,143850
1995-10,QLD,91430
1995-10,TAS,1440
1995-10,ACT,2090
1995-10,NT,5440
1995-10,WA,30330
1995-10,VIC,38990
1995-10,SA,6640
1995-11,NSW,145610
1995-11,QLD,97970
1995-11,TAS,2220
1995-11,ACT,2610
1995-11,NT,3920
1995-11,WA,33660
1995-11,VIC,47360
1995-11,SA,8750
1995-12,NSW,176570
1995-12,QLD,120020
1995-12,TAS,4590
1995-12,ACT,3030
1995-12,NT,2860
1995-12,WA,46800
1995-12,VIC,58720
1995-12,SA,8570
1996-01,NSW,141870
1996-01,QLD,92130
1996-01,TAS,1830
1996-01,ACT,2200
1996-01,NT,2850
1996-01,WA,24250
1996-01,VIC,45160
1996-01,SA,6440
1996-02,NSW,171700
1996-02,QLD,108830
1996-02,TAS,2690
1996-02,ACT,3210
1996-02,NT,2470
1996-02,WA,39640
1996-02,VIC,55570
1996-02,SA,7980
1996-03,NSW,161280
1996-03,QLD,105400
1996-03,TAS,2120
1996-03,ACT,2910
1996-03,NT,2660
1996-03,WA,31010
1996-03,VIC,51670
1996-03,SA,7970
1996-04,NSW,149170
1996-04,QLD,95560
1996-04,TAS,1420
1996-04,ACT,2660
1996-04,NT,2440
1996-04,WA,32270
1996-04,VIC,42580
1996-04,SA,6630
1996-05,NSW,108580
1996-05,QLD,84920
1996-05,TAS,880
1996-05,ACT,1730
1996-05,NT,3530
1996-05,WA,22550
1996-05,VIC,33260
1996-05,SA,5500
1996-06,NSW,124570
1996-06,QLD,106150
1996-06,TAS,860
1996-06,ACT,1910
1996-06,NT,4540
1996-06,WA,26720
1996-06,VIC,37570
1996-06,SA,4520
1996-07,NSW,145140
1996-07,QLD,123080
1996-07,TAS,890
1996-07,ACT,2980
1996-07,NT,6090
1996-07,WA,28780
1996-07,VIC,44630
1996-07,SA,6540
1996-08,NSW,138650
1996-08,QLD,114960
1996-08,TAS,890
1996-08,ACT,1820
1996-08,NT,4140
1996-08,WA,28950
1996-08,VIC,34250
1996-08,SA,5240
1996-09,NSW,126370
1996-09,QLD,105140
1996-09,TAS,910
1996-09,ACT,2810
1996-09,NT,4360
1996-09,WA,27540
1996-09,VIC,36340
1996-09,SA,5480
1996-10,NSW,150010
1996-10,QLD,101760
1996-10,TAS,1390
1996-10,ACT,2760
1996-10,NT,5590
1996-10,WA,34460
1996-10,VIC,45360
1996-10,SA,8750
1996-11,NSW,162720
1996-11,QLD,105530
1996-11,TAS,2100
1996-11,ACT,2360
1996-11,NT,4430
1996-11,WA,37270
1996-11,VIC,52770
1996-11,SA,7950
1996-12,NSW,195580
1996-12,QLD,136260
1996-12,TAS,2520
1996-12,ACT,2780
1996-12,NT,3480
1996-12,WA,49430
1996-12,VIC,63930
1996-12,SA,10410
1997-01,NSW,149990
1997-01,QLD,97650
1997-01,TAS,2820
1997-01,ACT,2220
1997-01,NT,2460
1997-01,WA,29630
1997-01,VIC,50180
1997-01,SA,7880
1997-02,NSW,165760
1997-02,QLD,114790
1997-02,TAS,3770
1997-02,ACT,3620
1997-02,NT,5050
1997-02,WA,39350
1997-02,VIC,66070
1997-02,SA,8750
1997-03,NSW,166680
1997-03,QLD,113940
1997-03,TAS,2280
1997-03,ACT,2990
1997-03,NT,3920
1997-03,WA,35670
1997-03,VIC,55990
1997-03,SA,8730
1997-04,NSW,133760
1997-04,QLD,100650
1997-04,TAS,1600
1997-04,ACT,2420
1997-04,NT,2830
1997-04,WA,33000
1997-04,VIC,45230
1997-04,SA,6170
1997-05,NSW,123190
1997-05,QLD,94510
1997-05,TAS,770
1997-05,ACT,1680
1997-05,NT,4390
1997-05,WA,25000
1997-05,VIC,34860
1997-05,SA,4590
1997-06,NSW,125130
1997-06,QLD,104980
1997-06,TAS,870
1997-06,ACT,1620
1997-06,NT,3980
1997-06,WA,28530
1997-06,VIC,38440
1997-06,SA,4270
1997-07,NSW,153290
1997-07,QLD,130500
1997-07,TAS,1740
1997-07,ACT,3020
1997-07,NT,5590
1997-07,WA,30820
1997-07,VIC,64890
1997-07,SA,7000
1997-08,NSW,130430
1997-08,QLD,117370
1997-08,TAS,1230
1997-08,ACT,2830
1997-08,NT,5030
1997-08,WA,26780
1997-08,VIC,38770
1997-08,SA,7470
1997-09,NSW,134300
1997-09,QLD,109140
1997-09,TAS,870
1997-09,ACT,2150
1997-09,NT,5250
1997-09,WA,31640
1997-09,VIC,41430
1997-09,SA,6060
1997-10,NSW,149050
1997-10,QLD,112060
1997-10,TAS,1700
1997-10,ACT,2730
1997-10,NT,5290
1997-10,WA,37810
1997-10,VIC,49080
1997-10,SA,8630
1997-11,NSW,156030
1997-11,QLD,112660
1997-11,TAS,2090
1997-11,ACT,2530
1997-11,NT,5140
1997-11,WA,37840
1997-11,VIC,53540
1997-11,SA,9140
1997-12,NSW,182330
1997-12,QLD,123150
1997-12,TAS,4440
1997-12,ACT,3490
1997-12,NT,3750
1997-12,WA,49370
1997-12,VIC,68380
1997-12,SA,12970
1998-01,NSW,144010
1998-01,QLD,99540
1998-01,TAS,3070
1998-01,ACT,2810
1998-01,NT,3200
1998-01,WA,34480
1998-01,VIC,51310
1998-01,SA,7580
1998-02,NSW,152600
1998-02,QLD,87660
1998-02,TAS,4790
1998-02,ACT,3150
1998-02,NT,3240
1998-02,WA,32550
1998-02,VIC,59930
1998-02,SA,9560
1998-03,NSW,142460
1998-03,QLD,90620
1998-03,TAS,2430
1998-03,ACT,3080
1998-03,NT,2590
1998-03,WA,33270
1998-03,VIC,55750
1998-03,SA,8060
1998-04,NSW,145130
1998-04,QLD,100920
1998-04,TAS,1080
1998-04,ACT,2810
1998-04,NT,2620
1998-04,WA,32150
1998-04,VIC,48300
1998-04,SA,7680
1998-05,NSW,114700
1998-05,QLD,90830
1998-05,TAS,960
1998-05,ACT,1590
1998-05,NT,3520
1998-05,WA,28270
1998-05,VIC,38420
1998-05,SA,4930
1998-06,NSW,117010
1998-06,QLD,108740
1998-06,TAS,1000
1998-06,ACT,2020
1998-06,NT,3630
1998-06,WA,27400
1998-06,VIC,40240
1998-06,SA,3650
1998-07,NSW,152430
1998-07,QLD,117250
1998-07,TAS,550
1998-07,ACT,2360
1998-07,NT,6020
1998-07,WA,31070
1998-07,VIC,56030
1998-07,SA,5430
1998-08,NSW,134250
1998-08,QLD,109970
1998-08,TAS,990
1998-08,ACT,1630
1998-08,NT,5110
1998-08,WA,27450
1998-08,VIC,37190
1998-08,SA,6130
1998-09,NSW,130130
1998-09,QLD,100840
1998-09,TAS,900
1998-09,ACT,2530
1998-09,NT,5580
1998-09,WA,28810
