iso3,lag0,lag1,lag2,lag3,lag4,lag5,lag6,cluster,cluster_name
FRANCE,-0.2354348439240586,-0.23929274995211106,-0.2408767642037753,-0.24286635566366324,-0.24477714435660622,-0.2459899945608064,-0.24801585701117082,0,High
GERMANY,-0.2479525140866026,-0.2527885186809122,-0.25387508134984316,-0.2542806229435363,-0.2550498511830696,-0.2559325566178078,-0.2574325269979347,0,High
INDIA,-0.04116709418666701,-0.04810320649011651,-0.05194874237572906,-0.055050944968052996,-0.05761224537928647,-0.05979099572998562,-0.062345819815137815,1,Low
INDONESIA,-0.19206816876741448,-0.19829044577307905,-0.20019193772102797,-0.20231909604761336,-0.20471724398330518,-0.20665928418338786,-0.2097925621101975,0,High
IRELAND,-0.2441066506608314,-0.25105530604295834,-0.25289570718084053,-0.25426591794280684,-0.2563664650616597,-0.25801991356865933,-0.26022601086797076,0,High
ISRAEL,-0.14997167204944015,-0.15461270324003257,-0.15467571403490665,-0.15369702464773144,-0.15377067895996868,-0.15421810474251127,-0.15660109327698007,0,High
ITALY,-0.24799680417085598,-0.2527212626366904,-0.25460315574846265,-0.2569674720365622,-0.2600019220672836,-0.2621472436843325,-0.26405621256998313,0,High
JAPAN,-0.2692910381413478,-0.27290428174854553,-0.2741992331980844,-0.2742692642297309,-0.2748173049039861,-0.2773202150030861,-0.2797601404582965,0,High
MALAYSIA,-0.25823136009515313,-0.2611702586814206,-0.26121346540247775,-0.26181233945619586,-0.262972796831121,-0.2638148445952857,-0.26496304311014557,0,High
MEXICO,-0.013968055700200377,-0.022555538155263857,-0.025548319187649552,-0.027564130575123816,-0.030156881771735332,-0.031977393757202946,-0.035871384468591096,1,Low
NEPAL,0.28953578856066664,0.2816996267011819,0.2763030173885843,0.2701243509499726,0.2667884047723896,0.263779296589145,0.26021635527628084,2,Medium
NETHERLANDS,-0.23555567188612786,-0.2400238834561934,-0.24114484891365623,-0.24214087206582083,-0.24293451514443967,-0.24364128760230414,-0.24677772698408887,0,High
NEW CALEDONIA,-0.2344602044753913,-0.23663519558551238,-0.23679819411556985,-0.23788970061678927,-0.23701672970732077,-0.2371322811917114,-0.2356611600197763,0,High
NEW ZEALAND,-0.2567643970972453,-0.2610149000281799,-0.2633506816168099,-0.26576354131809204,-0.2663449156682721,-0.2677132299214834,-0.27007040100044405,0,High
NORWAY,-0.24891121552282405,-0.25530008365450674,-0.25539349481000445,-0.2543261922426928,-0.25578519209430345,-0.256419839758261,-0.25957245498081455,0,High
PAKISTAN,-0.04481532249374341,-0.05079757185926316,-0.053950832958545636,-0.05641189268570498,-0.05842630666335101,-0.06033099576292345,-0.06324925220660532,1,Low
PAPUA NEW GUINEA,-0.3292983740624336,-0.33495406231149033,-0.33704230899967613,-0.3387299519542,-0.3392483410993427,-0.34017835740692537,-0.3422250606133869,0,High
PHILIPPINES,-0.07042963573498558,-0.07702701529088812,-0.0812221092036704,-0.08453664094679343,-0.08713265803736318,-0.08978122651443148,-0.09388479065584811,1,Low
POLAND,-0.09347009803733261,-0.09994253392409128,-0.10343235164679421,-0.10544124223185154,-0.1089704403697433,-0.11067131857874898,-0.11135394931159052,1,Low
RUSSIAN FEDERATION,-0.34061108426246506,-0.34647422010152723,-0.3476832332891308,-0.34857492616214697,-0.3488074409131871,-0.3487909035766488,-0.34935753330240166,0,High
SAUDI ARABIA,-0.266336880738828,-0.2698647580836458,-0.26841695623871265,-0.26750374560793766,-0.26731053635014274,-0.2681015404537746,-0.27077264991835326,0,High
SINGAPORE,-0.17685421455449316,-0.1829372217068144,-0.1852780048842947,-0.18720791683915125,-0.18889402468166724,-0.19086850156345464,-0.19228187297791288,0,High
SOUTH AFRICA,-0.2810753191523333,-0.28758603974946756,-0.28965905118235025,-0.2891456655337194,-0.2881961869994134,-0.28863539444439895,-0.2889005363402651,0,High
SPAIN,-0.1172309239113569,-0.12240355076798583,-0.12526532425007586,-0.12825291762719512,-0.1322740740078645,-0.1351844948383101,-0.13821998228075846,1,Low
SRI LANKA,-0.03702939687829872,-0.04386175662647578,-0.047849817952776375,-0.05122800228369074,-0.05292918647518073,-0.05554125765171902,-0.058042943867062005,1,Low
SWEDEN,-0.269649597903722,-0.27520316088658364,-0.2757238651077288,-0.2754892723091565,-0.27599367052127943,-0.2762783370533232,-0.27676564815171495,0,High
SWITZERLAND,-0.25834744385187636,-0.26333556980847594,-0.2645456640226942,-0.2649136806018244,-0.26556754996835386,-0.26565919952800165,-0.2674369430646282,0,High
THAILAND,-0.22773329494644387,-0.2314621026616052,-0.2325369408215343,-0.23374430306786972,-0.23199692066171598,-0.2334089209068077,-0.23629410974568843,0,High
UNITED ARAB EMIRATES,-0.17645854403702943,-0.18382479401731341,-0.18567207654996448,-0.1864639680975005,-0.18550875357543686,-0.18760141966340757,-0.19253769840937426,0,High
VANUATU,-0.012892455943903524,-0.01866896524739066,-0.023569272640099562,-0.02837413265996678,-0.03091737658351817,-0.03344881102613039,-0.03612228460942395,1,Low
